cpu_load,memory_load,disk_load,power
0.3141936179124442,0.0741549060228794,0.7787011226030699,6.88
0.5513320076690327,0.6543006471759433,0.6354113849613305,7.19
0.3847009893040526,0.456669748915846,0.8038768456127598,9.69
0.357978559744718,0.5376176239570598,0.8187458393412489,9.26
0.5820052950954321,0.602226124753567,0.1668170035712011,7.53
0.8629008140921917,0.0306963727630294,0.7795198134695117,7.31
0.0969504290146955,0.6061106221359684,0.4741346330995368,8.64
0.3843667539613966,0.5886646460890073,0.7527143872711567,9.46
0.597041240061204,0.2685469272274002,0.7848011666679223,10.57
0.3392531651841364,0.3773795021136046,0.3233886444202358,8.61
0.8999198260719038,0.2377480523949028,0.9300461574943938,7.63
0.851886968810844,0.2517978496067335,0.5920674666178222,10.67
0.0524403273920912,0.7394257180238772,0.4302142319819256,8.92
0.0978155855102099,0.9664006696964684,0.2680629045287925,8.45
0.6536463404310084,0.9082598624937508,0.6402443113373915,11.09
0.7977104668415408,0.1950321960257407,0.4499048553312366,8.3
0.2531256376518112,0.9719637322577735,0.4225890495424869,7.39
0.5537183480591925,0.662926641604312,0.0059147253905418,10.68
0.3402830298276436,0.1340258924138702,0.5114213007600524,7.2
0.8527235915552089,0.5695620893689846,0.851518269787166,8.14
0.528989759508975,0.2553134724014513,0.160670809610001,10.31
0.1448272091438813,0.1098708880646682,0.082839210492999,6.52
0.2594116264722159,0.5836331719204584,0.9026398113318574,8.36
0.6422125124343089,0.5127852187954671,0.8078023789774347,8.53
0.3517536552093354,0.9983054677715786,0.2267414708608094,9.03
0.0913543166883371,0.435200550647775,0.615745246329593,8.23
0.2009660191633472,0.0979451253717897,0.2662049340541745,10.17
0.158151260426106,0.8641947362852661,0.0812334508388178,7.27
0.358317138691068,0.747742598145697,0.6094010224880838,6.95
0.5938527443770247,0.2827701274462471,0.512480503925621,7.99
0.9017037042679086,0.1830166519400712,0.7195799107763976,9.8
0.6432986066296612,0.8742794312021724,0.0743931629158502,10.3
0.2317283893673576,0.9671977506876258,0.3960927901937189,8.94
0.8382808738017643,0.1870744396631018,0.0610571801815633,8.4
0.1948237438299984,0.5257180380909361,0.6739910076973514,8.12
0.3651299673062427,0.1939446478164928,0.2022825384104977,8.47
0.377396974394812,0.4994367832517986,0.0268527883945182,9.07
0.8685998736800378,0.4419666272873812,0.4171860312850182,8.73
0.7402423577130876,0.7322559614002659,0.136393210666575,7.4
0.0574621988529304,0.5876754573646037,0.1072509941197864,9.28
0.7516854908163442,0.188331314081301,0.83814434833641,10.37
0.38388507560355,0.016025037758533,0.9379477057685798,9.32
0.7505979940085814,0.4604042783576104,0.2773552830521803,10.12
0.4717389084821057,0.2008251872253672,0.7346224336303415,9.61
0.4830408283757162,0.3697123682178672,0.9996674877253848,9.3
0.6521988407321947,0.1664446870298652,0.3711137282915373,9.59
0.3506536518201904,0.0354663940632284,0.8891246748274065,6.79
0.7281858306757863,0.2068983528054468,0.9641708686188124,10.2
0.2089402580406518,0.1648419352240425,0.1018111907728684,7.72
0.2601204685656537,0.5033150137976066,0.1172390787079944,7.36
0.9734355990357764,0.3797425443575727,0.7068688488270211,10.83
