cpu_usage,memory_usage,disk_usage,interrupts,cycles,llc_miss,workload_type,throughput
31.41936179124442,7.41549060228794,77.870112260307,2990,2394016,44921,2.0,127586487.56992084
55.133200766903265,65.43006471759433,63.54113849613305,3214,2284095,39750,1.0,131247546.3872642
38.470098930405264,45.6669748915846,80.38768456127599,2746,2542142,37762,2.0,171137279.4871263
35.7978559744718,53.76176239570598,81.87458393412489,4355,2652754,41173,2.0,170915497.6403246
58.20052950954321,60.2226124753567,16.68170035712011,3895,2563695,44324,1.0,148283820.34285524
86.29008140921917,3.06963727630294,77.95198134695117,4939,2609950,40868,0.0,166679039.89266226
9.69504290146955,60.611062213596846,47.41346330995368,3473,2554116,43422,1.0,150235100.67029995
38.436675396139655,58.86646460890073,75.27143872711567,2921,2574516,42894,2.0,154523537.88645208
59.704124006120395,26.85469272274002,78.48011666679223,2352,2668530,39453,2.0,180494572.29410958
33.92531651841364,37.73795021136046,32.33886444202358,2322,3763219,42881,1.0,330258558.37388915
89.99198260719038,23.77480523949028,93.00461574943938,3201,2431508,43255,2.0,136683184.6937306
85.1886968810844,25.179784960673352,59.20674666178222,2569,2374887,44562,0.0,126567215.62412891
5.24403273920912,73.94257180238772,43.02142319819256,4534,2592346,40261,1.0,166917309.14654586
9.78155855102099,96.64006696964684,26.80629045287925,2787,2720917,42939,1.0,172416435.42505842
65.36463404310085,90.82598624937508,64.02443113373914,1186,2460087,39075,1.0,154882355.65999022
79.77104668415407,19.50321960257407,44.99048553312366,4897,2344183,39380,0.0,139542761.23284552
25.312563765181118,97.19637322577735,42.25890495424869,1838,2676207,38993,1.0,183676144.60711727
55.37183480591925,66.2926641604312,0.5914725390541801,3499,2698750,39414,1.0,184788439.69947764
34.02830298276436,13.40258924138702,51.142130076005245,1689,2585961,36636,2.0,182530688.21209928
85.27235915552089,56.956208936898456,85.1518269787166,3175,2453297,39458,0.0,152533482.94532076
52.898975950897494,25.53134724014513,16.067080961000098,3028,2522639,51166,0.0,124373754.52833182
