cpu_load,memory_load,disk_load,workload_type
0.7705854626123041,0.4686350392841409,0.10718605794755486,2
0.778528727843907,0.8183773030627973,0.7478175099970753,1
0.392269273953757,0.20967280624896922,0.805763309062933,0
0.8722258556616552,0.5121913375142775,0.4939267388870161,2
0.19139234634624763,0.2744525377404739,0.3385317175548597,0
0.9329542975361722,0.6779675830443264,0.7378535949129372,1
0.3680963237319058,0.258846074604876,0.2823542481575852,0
0.22098447351935294,0.057449913744347006,0.08751010467444487,0
0.9401879697441823,0.9063250312542379,0.06359945382208372,1
0.16304928523781725,0.9833862996160185,0.7641301975746354,1
0.5197905926205183,0.695261490105883,0.9999026373313326,1
0.9315573608320648,0.7338684043330318,0.6034901680848679,1
0.28522374958960395,0.2610952153886971,0.6490088883304561,0
0.7635856081713557,0.581989993420938,0.439834804500108,2
0.8234350141651077,0.724014086060047,0.9096445216824113,1
0.8553047079531694,0.6239707613518649,0.02326230647521164,2
0.08640290935962171,0.3928358146554135,0.6182489985211718,0
0.8757660249875282,0.9825485572853413,0.14006960694128437,1
0.9475076135330803,0.3805292660378045,0.040092540193370906,2
0.5184128464199194,0.9371450782092945,0.06504157300917993,1
0.4654865510454564,0.34349339159098535,0.5828132240149777,0
0.5118497735392613,0.26963343458300715,0.6017487915956872,2
0.8247057994067813,0.7679498885929537,0.1834920210448127,1
0.7317490790858483,0.8786486948770081,0.3481751965884605,1
0.3978033191104159,0.8689499575452544,0.8062921474875158,1
0.6557131442248315,0.7398584570650728,0.5720595635620187,1
0.3344030096363539,0.9442026299946727,0.08490690299600323,1
0.7806892972569106,0.5603874475885257,0.07102914204880229,2
0.10585545824519625,0.24876318297136626,0.9955218108222498,0
0.3373391406982558,0.06520380367689506,0.5894691519179531,0
0.0830504487145947,0.32081418434911735,0.9975834205633286,0
0.6102332575733852,0.22708146311641622,0.32573010313484774,2
0.8102402475689434,0.5982569629520379,0.6571546658336744,2
0.4043362592594385,0.5007729920460628,0.11709353242153306,0
0.33325406385658046,0.08823119683949629,0.09468480297634743,0
0.5391306385105379,0.9101410138362085,0.3319577404243953,1
0.7611939893503386,0.1170158883761835,0.9857531316430563,2
0.8398853906113394,0.4834279062708762,0.24524177133062178,2
0.034429753000357555,0.8712872559904412,0.02737000110686255,1
0.6287494404456815,0.1184393385415058,0.3125686877545494,2
0.03666367965737083,0.11245223572395331,0.21638954497317794,0
0.3782492175481805,0.7892709474631581,0.07171716598603539,1
0.36014207710761914,0.9052530093101298,0.11376097437846214,1
0.4187457841905005,0.697314095567506,0.9756926036641791,1
0.3184549467253496,0.6517383102144234,0.1375878216484786,1
0.5761713660005957,0.49532204344601083,0.5428700018734571,2
0.11736474953468148,0.7208405075861536,0.44523461678959975,1
0.9454375853313249,0.9478681016205728,0.5948069015949948,1
0.12754159354434746,0.7504714263436645,0.5730513390456198,1
0.9017558435274482,0.4947050692317232,0.6707227832744423,2
0.9376007778686775,0.5852618692702869,0.8125998501216091,2
0.3668661712105254,0.7538270158850799,0.5528780980269068,1
0.009250475571645314,0.6575804044316794,0.9603957813737228,0
0.5889237590681777,0.42962924627485966,0.5247930638254339,2
0.2842469448629434,0.5704621388111967,0.06769925201364886,0
0.675485639607156,0.9115173262562591,0.07501181918687888,1
0.5697881080887172,0.6567830603274557,0.9861302617496688,1
0.30318947007472374,0.34126436298456536,0.26765425187228337,0
0.296119576939127,0.316113379806611,0.0702529283484362,0
0.047594338760757665,0.5179480080560642,0.12394651716441767,0
0.8032171240392059,0.7313451223677866,0.5906315511085517,1
0.47734701052265255,0.06780437754978492,0.8687362043862222,2
0.26649681037357814,0.9578560738293598,0.49859198136327987,1
0.9533075602276154,0.05436892765037167,0.322917906704594,2
0.16941355334471922,0.5125079095939244,0.029062035407704665,0
0.7392429247612384,0.10038257037553838,0.25807672789810543,2
0.7527992804155832,0.8742853534140598,0.5153106260119625,1
0.9390527122899719,0.9363427616803577,0.8192729262169869,1
0.7017629317563469,0.055894361366837744,0.17104227392673224,2
0.9871653863823117,0.5869118577435071,0.8561822817492335,2
0.18154164174207016,0.612929307790079,0.5600193631007758,0
0.029122372587429567,0.7932772523043836,0.9445448070284129,1
0.6178234084592257,0.3666037062797435,0.1606208762439225,2
0.6845528508851543,0.9986059590104417,0.8303804984365196,1
0.035812167878024555,0.6150826287457631,0.8577401745652545,0
0.847717339793563,0.7616099439970649,0.15865202804811715,1
0.44868751919494615,0.14905225757261034,0.6165132038212157,0
0.30355786365199466,0.6715310695812717,0.8284864941306862,1
0.1578406266973162,0.892932380967193,0.2991579948011571,1
0.1574581682208224,0.6780397726936926,0.9235274767391253,0
0.9422589107092678,0.23362058082805742,0.6481982308250772,2
0.997051939568699,0.11165859066152263,0.23382429588036235,2
0.5270183764716467,0.342280464284937,0.3925022983424366,2
0.20217905912731166,0.8965903554911017,0.7087347453021787,1
0.8047339923075375,0.8267346074995506,0.28585295417524015,1
0.9746262879792847,0.012050467401868104,0.2745054306015685,2
0.7987313086022263,0.03605797158887164,0.2705879165989176,2
0.5405116958208467,0.21766862337658133,0.16605782198914093,2
0.9821067074289926,0.029148906048877307,0.39366069300038875,2
0.9553565247958907,0.7567124110907152,0.23526877483197856,1
0.00414232817783522,0.9381662414033057,0.25358114642466484,1
0.8227364845177668,0.9377410914722831,0.3874691601318512,1
0.08890448625857043,0.47381872684957926,0.3475085901119481,0
0.40787733639428714,0.646937744101661,0.5872766742061144,1
0.011680878552449474,0.617664067518411,0.35504851217869393,0
0.5874593333184552,0.12868390427560894,0.3146484736090503,2
0.49945431114506866,0.28970814809685536,0.7751432351938409,2
0.5303188447353239,0.856415757316954,0.6462339280482098,1
0.6425837861190363,0.10717319970909107,0.19138517772607747,2
0.5266775565279306,0.6661147731972851,0.2889278171338475,1
0.7091215559072879,0.8070417829797015,0.794869142964932,1
0.554812060865667,0.37677235148919236,0.6629579461422044,2
0.35072838765569075,0.6637202829167912,0.16973481507454452,1
0.20528385637407356,0.04463350947832356,0.6733788405718726,0
0.9794272378472155,0.3248459220377187,0.24640364554848512,2
0.24836436582423038,0.6494322189068653,0.34484625592216195,0
0.9024023643840475,0.30470335955565336,0.6870479768441359,2
0.16411617361993727,0.09415302903211252,0.13226220348430923,0
0.7950242169485464,0.07228139755971315,0.1936845617533564,2
0.10986642538338921,0.77851892580076,0.7489201097662078,1
0.30519726030400807,0.4268827684557487,0.7206360436096079,0
0.39960409288849,0.9446243513000636,0.30767216394509916,1
0.5691838695542557,0.8248387377179864,0.09507811882332835,1
0.7489094973290489,0.6343683988721491,0.0738901129533207,2
0.9080191977861488,0.9044467292369499,0.8448733492905917,1
0.29192703119571245,0.6058074734454509,0.35432038872452376,0
0.9049076955225644,0.5247109615628313,0.42274161103384617,2
0.6817904109006179,0.32033633306913095,0.6355244442769485,2
